DATE	MATCHUP	RESULT	VENUE	ATTENDANCE	GOAL SCORERS
June 8, 2017	WNT vs Sweden	1-0 W	Gamla Ullevi Stadium; Gothenburg, Sweden	10,011	Lavelle
June 4, 2017	U-20 MNT vs Venezuela	1-2 L (a.e.t.)	Jeonju World Cup Stadium; Jeonju, Korea Republic	2,671	Ebobisse
June 3, 2017	MNT vs Venezuela	1-1 D	Rio Tinto Stadium; Sandy, Utah	17,315	Pulisic
June 1, 2017	U-20 MNT vs New Zealand	6-0 W	Incheon Stadium; Incheon, Korea Republic	5,667	Sargent, Lennon, Ebobisse, Glad, Trusty, Kunga
May 28, 2017	U-20 MNT vs Saudi Arabia	1-1 D	Daejeon World Cup Stadium; Daejeon, Korea Republic	5,460	Lennon
May 25, 2017	U-20 MNT vs Senegal	1-0 W	Incheon Stadium; Incheon, Korea Republic	5,864	Sargent
May 24, 2017	U-20 WNT vs Japan	2-2 D	National Training Center; Carson, Calif.	0	Richardson, Smith
May 22, 2017	U-20 WNT vs Japan	1-2 L	National Training Center; Carson, Calif.	0	Kuhlmann
May 22, 2017	U-20 MNT vs Ecuador	3-3 D	Incheon Stadium; Incheon, Korea Republic	3,886	Sargent(2), De La Torre
May 19, 2017	U-19 WNT vs Japan	0-1 L	National Training Center; Carson, Calif.	0	--
May 7, 2017	U-17 MNT vs Mexico	1-1 D 4-5 PK's	Estadio Rommel Fernández; Panama City, Panama	233	Carleton
May 5, 2017	U-17 MNT vs Cuba	6-2 W	Estadio Maracaná; Panama City, Panama		Vassilev, Carleton, Coll(og), Jones, Reynolds, Weah
May 3, 2017	U-17 MNT vs Honduras	3-0 W	Estadio Maracaná; Panama City, Panama		Sargent(2), Akinola
May 1, 2017	U-15 BNT vs England	2-1 W	Gradisca d'Isonzo, Italy		Scally, Reyna
April 29, 2017	U-17 MNT vs El Salvador	1-0 W	Estadio Maracaná; Panama City, Panama	186	Jones
April 29, 2017	U-17 WNT vs Italy	6-0 W	Gradisca, Italy	350	Fishel, Doms(2), Van Zanten, Bethune, Godfrey
April 29, 2017	U-15 BNT vs Portugal	4-2 W	Gorizia, Italy		Reyna, Ocampo Chavez, Gaines, Busio
April 28, 2017	U-17 WNT vs England	2-0 W	Miren (SLO)	70	Linnehan, Canniff
April 27, 2017	U-15 BNT vs England	2-3 L	Precenicco, Italy		Busio(2)
